UNIQUEKEY,OWNERID2,COLLECCITY,COLLECZIP,FIPSCOUNTY,TRAPTYPE,POOLSIZE,GENDER,TESTTYPE,RESULTTYPE,ISPOS,LOGITUDE,LATITUDE,GENUS,COLLECSAMPLEID,COLLECDATE,WEEK_NEW,COLLECYEAR,locationwk,yr_weeks
5  44  AQUARIUS,2996,NEWARK,60541,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.580606,41.541782,Culex,AQUARIUS,5/31/2005,22,2005,299622,200522
5  44  AQUARIUS2,2996,NEWARK,60541,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.580606,41.541782,Culex,AQUARIUS2,6/3/2005,22,2005,299622,200522
5  44  AQUARIUS3,2996,NEWARK,60541,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.580606,41.541782,Culex,AQUARIUS3,6/8/2005,23,2005,299623,200523
5  44  AQUARIUS4,2996,NEWARK,60541,KENDALL,GRAVID TRAP,26,Female,VECWNV,NEGATIVE,0,-88.580606,41.541782,Culex,AQUARIUS4,6/15/2005,24,2005,299624,200524
5  44  AQUARIUS5,2996,NEWARK,60541,KENDALL,GRAVID TRAP,20,Female,VECWNV,NEGATIVE,0,-88.580606,41.541782,Culex,AQUARIUS5,6/17/2005,24,2005,299624,200524
5  44  AQUARIUS6A,2996,NEWARK,60541,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.580606,41.541782,Culex,AQUARIUS6A,6/22/2005,25,2005,299625,200525
5  44  AQUARIUS7,2996,NEWARK,60541,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.580606,41.541782,Culex,AQUARIUS7,6/24/2005,25,2005,299625,200525
5  44  AQUARIUS8,2996,NEWARK,60541,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.580606,41.541782,Culex,AQUARIUS8,6/29/2005,26,2005,299626,200526
5  44  AQUARIUS9,2996,NEWARK,60541,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.580606,41.541782,Culex,AQUARIUS9,7/1/2005,26,2005,299626,200526
5  44  AQUARIUS10,2996,NEWARK,60541,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.580606,41.541782,Culex,AQUARIUS10,7/11/2005,28,2005,299628,200528
