TID,OBJECTID,ORGANIZATION,LOCATEID,COLLECADDRES,COLLECCITY,COLLECZIP,COMP_ADDR,FIPSCOUNTY,JURISDNAME,TRAPTYPE,OrgLocIDTrap,POOLSIZE,GENDER,TESTTYPE,RESULTTYPE,ISPOS,TESTDATE,GENUS,SPECIES,U_trap2,TRAPTYPE,Loc_name,LOGITUDE,LATITUDE,COLLECSAMPLEID,U_id2,Numtests,COLLECDATE,WEEK_NEW,YEAR
Y11P02286,184869,IDPH,KENDALL03,675 ROUTE 30,OSWEGO,60543,675 ROUTE 30_OSWEGO_60543,KENDALL,KENDALL COUNTY HEALTH DEPT,GRAVID TRAP,IDPH|KENDALL03|GRAVID TRAP,50,Female,RAMP WNV,POSITIVE,1,29-Jun-11,Culex,PIPIENS/RESTUANS,UTC0907,GRAVID TRAP,IDPH,-88.278741,41.713731,206,UTC0907 206,1,28-Jun-11,26,2011
Y11P02285,184868,IDPH,IDPH112,8700 SOUTH KEDZIE AVE.,EVERGREEN PARK,60805,8700 SOUTH KEDZIE AVE._EVERGREEN PARK_60805,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,IDPH|IDPH112|GRAVID TRAP,50,Female,RAMP WNV,POSITIVE,1,29-Jun-11,Culex,PIPIENS/RESTUANS,UTC0928,GRAVID TRAP,IDPH,-87.702216,41.735186,198,UTC0928 198,1,28-Jun-11,26,2011
Y11P03051,185428,IDPH,IDPH 101,5348 STONY CREEK DRIVE,OAK LAWN,60453,5348 STONY CREEK DRIVE_OAK LAWN_60453,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,IDPH|IDPH 101|GRAVID TRAP,50,Female,RAMP WNV,POSITIVE,1,05-Jul-11,Culex,PIPIENS/RESTUANS,UTC0892,GRAVID TRAP,IDPH,-87.752938,41.699163,212,UTC0892 212,1,30-Jun-11,26,2011
Y11P03064,185441,IDPH,KENDALL03,675 ROUTE 30,OSWEGO,60543,675 ROUTE 30_OSWEGO_60543,KENDALL,KENDALL COUNTY HEALTH DEPT,GRAVID TRAP,IDPH|KENDALL03|GRAVID TRAP,50,Female,RAMP WNV,POSITIVE,1,05-Jul-11,Culex,PIPIENS/RESTUANS,UTC0907,GRAVID TRAP,IDPH,-88.278741,41.713731,225,UTC0907 225,1,30-Jun-11,26,2011
Y11P03062,185439,IDPH,IDPH112,8700 SOUTH KEDZIE AVE.,EVERGREEN PARK,60805,8700 SOUTH KEDZIE AVE._EVERGREEN PARK_60805,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,IDPH|IDPH112|GRAVID TRAP,50,Female,RAMP WNV,POSITIVE,1,05-Jul-11,Culex,PIPIENS/RESTUANS,UTC0928,GRAVID TRAP,IDPH,-87.702216,41.735186,223,UTC0928 223,1,30-Jun-11,26,2011
Y11P03057,185434,IDPH,IDPH 05,THATCHER AND BERTEAU,NORRIDGE,60634,THATCHER AND BERTEAU_NORRIDGE_60634,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,IDPH|IDPH 05|GRAVID TRAP,50,Female,RAMP WNV,POSITIVE,1,05-Jul-11,Culex,PIPIENS/RESTUANS,UTC1104,GRAVID TRAP,IDPH,-87.79447,41.94516,218,UTC1104 218,1,30-Jun-11,26,2011
Y11P03498,186159,Northwest MAD,NWGL1,435 Hazelwood,GLENVIEW,60025,435 Hazelwood_GLENVIEW_60025,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,Northwest MAD|NWGL1|GRAVID TRAP,50,Female,PCRWNV,POSITIVE,1,13-Jul-11,Culex,SPP,UTC1213,GRAVID TRAP,IDPH,-87.8411,42.06308,163,UTC1213 163,2,04-Jul-11,27,2011
Y11P03501,186160,Northwest MAD,NWGL1,435 Hazelwood,GLENVIEW,60025,435 Hazelwood_GLENVIEW_60025,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,Northwest MAD|NWGL1|GRAVID TRAP,50,Female,PCRWNV,POSITIVE,1,13-Jul-11,Culex,SPP,UTC1213,GRAVID TRAP,IDPH,-87.8411,42.06308,164,UTC1213 164,2,04-Jul-11,27,2011
Y11P03235,185653,IDPH,IDPH 109,15100 CANAL BANK ROAD,LEMONT,60439,15100 CANAL BANK ROAD_LEMONT_60439,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,IDPH|IDPH 109|GRAVID TRAP,50,Female,RAMP WNV,POSITIVE,1,07-Jul-11,Culex,PIPIENS/RESTUANS,UTC0887,GRAVID TRAP,IDPH,-87.984166,41.686801,246,UTC0887 246,1,06-Jul-11,27,2011
Y11P03239,185657,IDPH,KENDALL03,675 ROUTE 30,OSWEGO,60543,675 ROUTE 30_OSWEGO_60543,KENDALL,KENDALL COUNTY HEALTH DEPT,GRAVID TRAP,IDPH|KENDALL03|GRAVID TRAP,50,Female,RAMP WNV,POSITIVE,1,07-Jul-11,Culex,PIPIENS/RESTUANS,UTC0907,GRAVID TRAP,IDPH,-88.278741,41.713731,255,UTC0907 255,1,06-Jul-11,27,2011
Y11P03236,185654,IDPH,IDPH112,8700 SOUTH KEDZIE AVE.,EVERGREEN PARK,60805,8700 SOUTH KEDZIE AVE._EVERGREEN PARK_60805,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,IDPH|IDPH112|GRAVID TRAP,50,Female,RAMP WNV,POSITIVE,1,07-Jul-11,Culex,PIPIENS/RESTUANS,UTC0928,GRAVID TRAP,IDPH,-87.702216,41.735186,250,UTC0928 250,1,06-Jul-11,27,2011
