TID,OBJECTID,ORGANIZATION,LOCATEID,COLLECADDRES,COLLECCITY,COLLECZIP,COMP_ADDR,FIPSCOUNTY,JURISDNAME,TRAPTYPE,POOLSIZE,GENDER,TESTTYPE,RESULTTYPE,ISPOS,TESTDATE,GENUS,SPECIES,U_Trap2,LL_Source,LOGITUDE,LATITUDE,LL_Source0,COLLECSAMPLEID,COLLECDATE,WEEK_NEW,U_id2,Numtests
Y12P08896,205723,EVANSTON HEALTH DEPT,2012EV1,JAMES PARK,EVANSTON,60202,JAMES PARK_EVANSTON_60202,COOK,EVANSTON HEALTH DEPT,GRAVID TRAP,807,Female,RAMP WNV,NEGATIVE,0,17-Jul-12,Culex,PIPIENS,UTR0988,IDPH,-87.703815,42.022773,IDPH,EV1 034-49,17-Feb-12,7,UTR0988 EV1 034-49,1
Y12P04746,203113,DUPAGE COUNTY HEALTH DEPT,103,28W335 RIVERA COURT,CAROL STREAM,60188,28W335 RIVERA COURT_CAROL STREAM_60188,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,06-Jul-12,Culex,SP,UTR0913,IDPH,-88.173268,41.93407,IDPH,C12119,29-Feb-12,9,UTR0913 C12119,1
Y12P10530,208007,COOK COUNTY HEALTH DEPT,21,15405 KENTON AVE,OAK FOREST,60452,15405 KENTON AVE_OAK FOREST_60452,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,20,Female,RAMP WNV,NEGATIVE,0,13-Apr-12,Culex,SP,UTR0706,GISSA,-87.731827,41.612517,IDPH,2,09-Apr-12,15,UTR0706 2,1
Y12P10529,208006,COOK COUNTY HEALTH DEPT,30,7921 W. 101ST STREET,PALOS HILLS,60465,7921 W. 101ST STREET_PALOS HILLS_60465,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,20,Female,RAMP WNV,NEGATIVE,0,13-Apr-12,Culex,SP,UTR0745,GISSA,-87.815516,41.707639,IDPH,1,09-Apr-12,15,UTR0745 1,1
Y12P11400,208480,COOK COUNTY HEALTH DEPT,44,4600 NORTH OLCOTT AVE.,HARWOOD HEIGHTS,60706,4600 NORTH OLCOTT AVE._HARWOOD HEIGHTS_60706,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,10,Female,RAMP WNV,NEGATIVE,0,13-Apr-12,Culex,SP,UTR0938,GISSA,-87.814623,41.963534,IDPH,3,12-Apr-12,15,UTR0938 3,1
Y12P11401,208481,COOK COUNTY HEALTH DEPT,50,3913 HARVEST LANE,GLENVIEW,60025,3913 HARVEST LANE_GLENVIEW_60025,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,25,Female,RAMP WNV,NEGATIVE,0,12-Apr-12,Culex,SP,UTR1034,GISSA,-87.852019,42.09763,IDPH,4,12-Apr-12,15,UTR1034 4,1
Y12P00220,199251,CITY OF NAPERVILLE,G1,NORTH AURORA RD. AND GENESEE,NAPERVILLE,60563,NORTH AURORA RD. AND GENESEE_NAPERVILLE_60563,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,10,Female,RAMP WNV,NEGATIVE,0,10-Apr-12,Culex,SP,UTR0804,GISSA,-88.22075,41.78144,IDPH,001,10-Apr-12,15,UTR0804 001,1
Y12P00221,199252,CITY OF NAPERVILLE,G2,RT. 59 AND DIEHL RD.,NAPERVILLE,60563,RT. 59 AND DIEHL RD._NAPERVILLE_60563,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,20,Female,RAMP WNV,NEGATIVE,0,10-Apr-12,Culex,SP,UTR0812,GISSA,-88.16775,41.79228,IDPH,002,10-Apr-12,15,UTR0812 002,1
Y12P00222,199253,CITY OF NAPERVILLE,G4,25W670 PLANK RD.,NAPERVILLE,60563,25W670 PLANK RD._NAPERVILLE_60563,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,45,Female,RAMP WNV,NEGATIVE,0,10-Apr-12,Culex,SP,UTR0809,GISSA,-88.124169,41.787577,IDPH,003,11-Apr-12,15,UTR0809 003,1
Y12P00223,199254,CITY OF NAPERVILLE,G7,1021 JACKSON AV.,NAPERVILLE,60540,1021 JACKSON AV._NAPERVILLE_60540,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,14,Female,RAMP WNV,NEGATIVE,0,10-Apr-12,Culex,SP,UTR0791,GISSA,-88.162748,41.772331,IDPH,004,10-Apr-12,15,UTR0791 004,1
Y12P11403,208483,COOK COUNTY HEALTH DEPT,21,15405 KENTON AVE,OAK FOREST,60452,15405 KENTON AVE_OAK FOREST_60452,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,30,Female,RAMP WNV,NEGATIVE,0,27-Apr-12,Culex,SP,UTR0706,GISSA,-87.731827,41.612517,IDPH,6,16-Apr-12,16,UTR0706 6,1
Y12P11405,208485,COOK COUNTY HEALTH DEPT,38,4303 WESTVIEW,NORTHBROOK,60062,4303 WESTVIEW_NORTHBROOK_60062,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,35,Female,RAMP WNV,NEGATIVE,0,27-Apr-12,Culex,SP,UTR1027,GISSA,-87.863114,42.090746,IDPH,8,19-Apr-12,16,UTR1027 8,1
Y12P11404,208484,COOK COUNTY HEALTH DEPT,40,9100 PULASKI ROAD,OAK LAWN,60453,9100 PULASKI ROAD_OAK LAWN_60453,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,10,Female,RAMP WNV,NEGATIVE,0,27-Apr-12,Culex,SP,UTR0758,GISSA,-87.721723,41.727724,IDPH,7,16-Apr-12,16,UTR0758 7,1
Y12P11406,208486,COOK COUNTY HEALTH DEPT,50,3913 HARVEST LANE,GLENVIEW,60025,3913 HARVEST LANE_GLENVIEW_60025,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,35,Female,RAMP WNV,NEGATIVE,0,27-Apr-12,Culex,SP,UTR1034,GISSA,-87.852019,42.09763,IDPH,9,19-Apr-12,16,UTR1034 9,1
Y12P00224,199255,CITY OF NAPERVILLE,G1,NORTH AURORA RD. AND GENESEE,NAPERVILLE,60563,NORTH AURORA RD. AND GENESEE_NAPERVILLE_60563,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,17-Apr-12,Culex,SP,UTR0804,GISSA,-88.22075,41.78144,IDPH,005,17-Apr-12,16,UTR0804 005,1
Y12P00228,199259,CITY OF NAPERVILLE,G10,1152 BLUE LARKSPUR LN.,NAPERVILLE,60540,1152 BLUE LARKSPUR LN._NAPERVILLE_60540,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,17-Apr-12,Culex,SP,UTR0779,GISSA,-88.126407,41.757469,IDPH,009,17-Apr-12,16,UTR0779 009,1
Y12P00229,199260,CITY OF NAPERVILLE,G11*,MARSHALL CT.,NAPERVILLE,60565,MARSHALL CT._NAPERVILLE_60565,WILL,WILL COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,17-Apr-12,Culex,SP,UTR0763,IDPH,-88.12711,41.73218,IDPH,010,17-Apr-12,16,UTR0763 010,1
Y12P00225,199256,CITY OF NAPERVILLE,G4,25W670 PLANK RD.,NAPERVILLE,60563,25W670 PLANK RD._NAPERVILLE_60563,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,17-Apr-12,Culex,SP,UTR0809,GISSA,-88.124169,41.787577,IDPH,006,17-Apr-12,16,UTR0809 006,1
Y12P00484,199456,CITY OF NAPERVILLE,G7,1021 JACKSON AV.,NAPERVILLE,60540,1021 JACKSON AV._NAPERVILLE_60540,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,13,Female,RAMP WNV,NEGATIVE,0,15-May-12,Culex,SP,UTR0791,GISSA,-88.162748,41.772331,IDPH,034,15-Apr-12,16,UTR0791 034,1
