OBJECTID,ORGANIZATION,LOCATEID,COLLECADDRES,COLLECCITY,COLLECZIP,COMP_ADDR,FIPSCOUNTY,JURISDNAME,TRAPTYPE,POOLSIZE,GENDER,TESTTYPE,RESULTTYPE,ISPOS,TESTDATE,GENUS,SPECIES,LL_Source,LOGITUDE,LATITUDE,COLLECSAMPLEID,COLLECDATE,WEEK_NEW,NUMTESTS,UniqueID
221278,CITY OF NAPERVILLE,G4,25W670 PLANK RD.,NAPERVILLE,60563,25W670 PLANK RD._NAPERVILLE_60563,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,27,Female,RAMP WNV,NEGATIVE,0,7-May-13,Culex,SP,GISSA,-88.124169,41.787577,008,7-Apr-13,15,1,G4_008
221271,CITY OF NAPERVILLE,G2,RT. 59 AND DIEHL RD.,NAPERVILLE,60563,RT. 59 AND DIEHL RD._NAPERVILLE_60563,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,10,Female,RAMP WNV,NEGATIVE,0,23-Apr-13,Culex,SP,GISSA,-88.16775,41.79228,001,23-Apr-13,17,1,G2_001
221272,CITY OF NAPERVILLE,G8,731 S. WEST ST.,NAPERVILLE,60540,731 S. WEST ST._NAPERVILLE_60540,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,12,Female,RAMP WNV,NEGATIVE,0,23-Apr-13,Culex,SP,GISSA,-88.158407,41.765245,002,23-Apr-13,17,1,G8_002
221329,WILL COUNTY HEALTH DEPT,WCHD16,14200 PARKER RD,LOCKPORT,60441,14200 PARKER RD_LOCKPORT_60441,WILL,WILL COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,28-May-13,Culex,SPP,IDPH,-87.950095,41.616909,1316WCHD1,24-Apr-13,17,1,WCHD16_1316WCHD1
221277,CITY OF NAPERVILLE,G1,NORTH AURORA RD. AND GENESEE,NAPERVILLE,60563,NORTH AURORA RD. AND GENESEE_NAPERVILLE_60563,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,24,Female,RAMP WNV,NEGATIVE,0,30-Apr-13,Culex,SP,GISSA,-88.22075,41.78144,007,30-Apr-13,18,1,G1_007
221273,CITY OF NAPERVILLE,G2,RT. 59 AND DIEHL RD.,NAPERVILLE,60563,RT. 59 AND DIEHL RD._NAPERVILLE_60563,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,10,Female,RAMP WNV,NEGATIVE,0,30-Apr-13,Culex,SP,GISSA,-88.16775,41.79228,003,30-Apr-13,18,1,G2_003
221274,CITY OF NAPERVILLE,G3,711 IROQUIOIS,NAPERVILLE,60563,711 IROQUIOIS_NAPERVILLE_60563,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,12,Female,RAMP WNV,NEGATIVE,0,30-Apr-13,Culex,SP,GISSA,-88.136877,41.797249,004,30-Apr-13,18,1,G3_004
221275,CITY OF NAPERVILLE,G4,25W670 PLANK RD.,NAPERVILLE,60563,25W670 PLANK RD._NAPERVILLE_60563,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,11,Female,RAMP WNV,NEGATIVE,0,30-Apr-13,Culex,SP,GISSA,-88.124169,41.787577,005,30-Apr-13,18,1,G4_005
221276,CITY OF NAPERVILLE,G8,731 S. WEST ST.,NAPERVILLE,60540,731 S. WEST ST._NAPERVILLE_60540,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,18,Female,RAMP WNV,NEGATIVE,0,30-Apr-13,Culex,SP,GISSA,-88.158407,41.765245,006,30-Apr-13,18,1,G8_006
221261,Northwest MAD,NWAH1,300 S. Bristol,ARLINGTON HEIGHTS,60005,300 S. Bristol_ARLINGTON HEIGHTS_60005,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,25,Female,RAMP WNV,NEGATIVE,0,15-May-13,Culex,PIPIENS/RESTUANS,IDPH,-87.9759,42.079433,30,2-May-13,18,1,NWAH1_30
