LOCATEID,FIPSCOUNTY,POOLSIZE,ISPOS,LOGITUDE,LATITUDE,WEEK_NEW,UNIQ_ID
NWAH2,COOK,51,0,-87.998563,42.083591,17,No_061_14
NWBG1,COOK,50,0,-87.97649,42.14123,17,No_061_2
NWBR2,COOK,50,0,-88.16306,42.1139,17,No_061_5
NWBR2,COOK,50,0,-88.16306,42.1139,17,No_061_6
NWBR2,COOK,50,0,-88.16306,42.1139,17,No_061_7
NWBR2,COOK,50,0,-88.16306,42.1139,17,No_061_8
NWBR3,COOK,47,0,-88.1284,42.13776,17,No_061_3
NWBT1,COOK,52,0,-88.17953,41.99677,17,No_061_23
NWDP,COOK,58,0,-87.92988,42.04765,17,No_061_15
NWEG2,COOK,29,0,-88.04102,42.00442,17,No_061_17
NWEG3,COOK,43,0,-87.9535,42.0117,17,No_061_19
NWEGSH,COOK,50,0,-87.97607,42.02747,17,No_061_25
NWEL1,COOK,53,0,-88.25974,42.02845,17,No_061_16
NWGL2,COOK,50,0,-87.849346,42.065177,17,No_061_38
NWHE1,COOK,44,0,-88.23263,42.05819,17,No_061_4
NWHE2,COOK,55,0,-88.0713,42.04724,17,No_061_22
NWHE4,COOK,50,0,-88.104243,42.103473,17,No_061_9
NWNB1,COOK,47,0,-87.860278,42.115833,17,No_061_12
NWNB2,COOK,50,0,-87.88538,42.09502,17,No_061_11
NWPA1,COOK,53,0,-88.0527,42.1045,17,No_061_10
NWPH2,COOK,50,0,-87.934,42.046,17,No_061_13
NWPR2,COOK,39,0,-87.831669,42.033113,17,No_061_30
NWPR3,COOK,56,0,-87.831861,42.001583,17,No_061_18
NWSC4,COOK,53,0,-88.114261,42.019974,17,No_061_21
NWST1,COOK,50,0,-88.148,42.033,17,No_061_20
NWWH,COOK,30,0,-87.935848,42.135373,17,No_061_1
25,COOK,50,0,-87.790602,41.713899,18,CO_016_6
NWAH2,COOK,50,0,-87.998563,42.083591,18,No_061_29
NWAH2,COOK,50,0,-87.998563,42.083591,18,No_061_35
NWBR2,COOK,59,0,-88.16306,42.1139,18,No_061_24
NWBR2,COOK,49,0,-88.16306,42.1139,18,No_061_26
NWBT1,COOK,54,0,-88.17953,41.99677,18,No_061_31
NWDP,COOK,49,0,-87.92988,42.04765,18,No_061_37
NWGL2,COOK,50,0,-87.849346,42.065177,18,No_061_54
NWHE2,COOK,46,0,-88.0713,42.04724,18,No_061_41
NWRM1,COOK,50,0,-88.027866,42.079233,18,No_061_32
34,WILL,30,0,-88.041474,41.304663,19,WI_079_1534WCHD1
201,DUPAGE,50,0,-88.117762,41.963811,19,DU_019_E15001
208,DUPAGE,25,0,-88.01989,41.97552,19,DU_019_E15002
301,DUPAGE,27,0,-88.0174,41.9691,19,DU_019_E15003
307,DUPAGE,18,0,-87.9501,41.9157,19,DU_019_E15004
506,DUPAGE,22,0,-88.087311,41.814018,19,DU_019_SE15001
511,DUPAGE,50,0,-88.0537,41.8867,19,DU_019_SE15002
604,DUPAGE,15,0,-88.0085,41.8489,19,DU_019_E15005
610,DUPAGE,20,0,-88.007449,41.906584,19,DU_019_E15006
802,DUPAGE,19,0,-88.087313,41.773075,19,DU_019_SE15003
901,DUPAGE,50,0,-88.0167,41.7926,19,DU_019_SE15005
902,DUPAGE,19,0,-87.9612,41.7866,19,DU_019_SE15006
904,DUPAGE,50,0,-999,-999,19,DU_019_SE15007
907,DUPAGE,36,0,-87.9228,41.8064,19,DU_019_SE15008
909,DUPAGE,19,0,-87.9256,41.7584,19,DU_019_SE15009
910,DUPAGE,23,0,-87.9818,41.8148,19,DU_019_SE15010
2015EV-01,COOK,17,0,-87.6862,42.0641,19,EV_024_1
br,COOK,50,0,-87.83992,41.83077,19,De_018_dv1
br,COOK,50,0,-87.83992,41.83077,19,De_018_dv18
br,COOK,50,0,-87.83992,41.83077,19,De_018_dv2
br,COOK,50,0,-87.83992,41.83077,19,De_018_dv19
br,COOK,50,0,-87.83992,41.83077,19,De_018_dv20
bv,COOK,26,0,-87.866029,41.86918,19,De_018_dv24
by,COOK,50,0,-87.90625,41.88705,19,De_018_dv3
by,COOK,50,0,-87.90625,41.88705,19,De_018_dv4
by,COOK,50,0,-87.90625,41.88705,19,De_018_dv25
by,COOK,50,0,-87.90625,41.88705,19,De_018_dv26
by,COOK,50,0,-87.90625,41.88705,19,De_018_dv27
fp,COOK,50,0,-87.82575,41.8755,19,De_018_dv36
fp,COOK,50,0,-87.82575,41.8755,19,De_018_dv37
fp,COOK,49,0,-87.82575,41.8755,19,De_018_dv38
hk,COOK,50,0,-87.85477,41.76822,19,De_018_dv11
hk,COOK,50,0,-87.85477,41.76822,19,De_018_dv12
hk,COOK,50,0,-87.85477,41.76822,19,De_018_dv13
IDPH 05,COOK,50,0,-87.79447,41.94516,19,ID_034_I008
IDPH 05,COOK,21,0,-87.79447,41.94516,19,ID_034_I020
IDPH 101,COOK,50,0,-87.7537,41.6995,19,ID_034_I001
IDPH 101,COOK,50,0,-87.7537,41.6995,19,ID_034_I011
IDPH 102,COOK,16,0,-87.6953,41.7163,19,ID_034_I002
IDPH 102,COOK,3,0,-87.6953,41.7163,19,ID_034_I012
