LOCATEID,FIPSCOUNTY,POOLSIZE,TESTTYPE,RESULTTYPE,ISPOS,LOGITUDE,LATITUDE,WEEK_NEW,UNIQ_ID
br,COOK,10,RAMP WNV,NEGATIVE,0,-87.83992,41.83077,19,De_018_dv8
by,COOK,45,RAMP WNV,NEGATIVE,0,-87.90625,41.88705,19,De_018_dv3
DOMINICKS,WILL,50,RAMP WNV,NEGATIVE,0,-88.227862,41.284438,19,Re_064_6
fp,COOK,17,RAMP WNV,NEGATIVE,0,-87.82575,41.8755,19,De_018_dv4
G.P.W.D,WILL,50,RAMP WNV,NEGATIVE,0,-88.240273,41.234823,19,Re_064_5
hk,COOK,7,RAMP WNV,NEGATIVE,0,-87.85477,41.76822,19,De_018_dv7
lh,COOK,7,RAMP WNV,NEGATIVE,0,-87.89658,41.78742,19,De_018_dv6
lp,COOK,40,RAMP WNV,NEGATIVE,0,-87.89391,41.82378,19,De_018_dv2
NN,COOK,12,RAMP WNV,NEGATIVE,0,-87.816896,41.850487,19,De_018_dv5
REX,WILL,50,RAMP WNV,NEGATIVE,0,-88.239002,41.268854,19,Re_064_4
rp,COOK,10,RAMP WNV,NEGATIVE,0,-87.81937,41.73735,19,De_018_dv1
SHADOW LAKES 1,WILL,50,RAMP WNV,NEGATIVE,0,-88.208286,41.287102,19,Re_064_3
19- OLYMPIA FIELDS,COOK,50,RAMP WNV,NEGATIVE,0,-87.703217,41.519033,20,So_069_002
3-LRSH,COOK,50,RAMP WNV,NEGATIVE,0,-87.876167,41.709833,20,So_069_001
br,COOK,50,RAMP WNV,NEGATIVE,0,-87.83992,41.83077,20,De_018_dv19
br,COOK,50,RAMP WNV,NEGATIVE,0,-87.83992,41.83077,20,De_018_dv20
br,COOK,17,RAMP WNV,NEGATIVE,0,-87.83992,41.83077,20,De_018_dv21
bv,COOK,15,RAMP WNV,NEGATIVE,0,-87.866029,41.86918,20,De_018_dv23
by,COOK,50,RAMP WNV,NEGATIVE,0,-87.90625,41.88705,20,De_018_dv10
by,COOK,50,RAMP WNV,NEGATIVE,0,-87.90625,41.88705,20,De_018_dv24
by,COOK,26,RAMP WNV,NEGATIVE,0,-87.90625,41.88705,20,De_018_dv25
EV1,COOK,34,RAMP WNV,NEGATIVE,0,-87.68698,42.006388,20,No_060_NS0015
EV3,COOK,29,RAMP WNV,NEGATIVE,0,-87.70028,42.05611,20,No_060_NS0016
fp,COOK,50,RAMP WNV,NEGATIVE,0,-87.82575,41.8755,20,De_018_dv31
fp,COOK,34,RAMP WNV,NEGATIVE,0,-87.82575,41.8755,20,De_018_dv32
G.P.W.D,WILL,50,RAMP WNV,NEGATIVE,0,-88.240273,41.234823,20,Re_064_12
G.P.W.D,WILL,50,RAMP WNV,NEGATIVE,0,-88.240273,41.234823,20,Re_064_16
hk,COOK,19,RAMP WNV,NEGATIVE,0,-87.85477,41.76822,20,De_018_dv15
lg,COOK,18,RAMP WNV,NEGATIVE,0,-87.86581,41.81025,20,De_018_dv16
lh,COOK,18,RAMP WNV,NEGATIVE,0,-87.89658,41.78742,20,De_018_dv14
lp,COOK,50,RAMP WNV,NEGATIVE,0,-87.89391,41.82378,20,De_018_dv17
lp,COOK,50,RAMP WNV,NEGATIVE,0,-87.89391,41.82378,20,De_018_dv9
lp,COOK,20,RAMP WNV,NEGATIVE,0,-87.89391,41.82378,20,De_018_dv18
